BIOMASS	ALT	CONS	SOIL
2.01	116	2	2
2.06	21	2	3
1.7	130	1	2
2.07	65	2	2
1.88	117	2	2
2.11	82	1	1
0.98	359	1	2
2.14	5	2	2
1.75	86	2	3
1.81	91	1	3
2.15	64	2	2
1.68	178	2	1
2.23	79	2	1
2.04	70	2	2
1.67	209	1	2
1.77	110	1	3
1.74	161	2	2
1.53	248	1	3
1.79	146	1	2
2.15	23	2	2
1.39	237	2	3
2.19	84	2	1
2.14	40	1	3
2.29	7	2	2
1.91	161	1	1
1.73	122	2	3
2.21	25	2	1
1.96	146	2	1
2.07	67	2	1
2.01	118	2	1
2.2	42	2	1
2.24	57	2	1
1.33	277	2	3
1.05	338	1	3
1.36	331	1	2
1.72	153	1	1
1.44	239	2	3
1.52	237	2	2
2.09	67	1	1
1.42	171	1	3
1.64	206	2	3
0.92	371	2	3
1.65	107	1	3
1.37	236	2	3
0.77	482	1	2
1.57	240	2	2
2.25	56	2	1
2.23	42	2	1
2.03	68	2	1
1.18	436	2	2
